img,csf,gm,wm,
1119,0.4499486450185668,0.7336222533133486,0.7432144207136125,
1019,0.5250482258724499,0.5124801475277325,0.4495422883938782,
1107,0.5597152649617717,0.7640035101211781,0.5445192489408157,
1023,0.5226725311550948,0.5390629395051022,0.44754578837629705,
1005,0.006741079428698348,0.0824672204859158,0.049503267765577195,
1025,0.00616320552401148,0.07868093587327998,0.04474523807610594,
1125,0.4564656882189607,0.8000449038035062,0.5052015586648732,
1113,0.567339101812832,0.7327629662909891,0.535371370139605,
1101,0.6078943928898183,0.5612457479894256,0.44911005717971103,
1039,0.5160675228534575,0.5038390243660019,0.4583860281965423,
1003,0.5045202383398397,0.524036342653244,0.46172833831694404,
1122,0.6322703173221492,0.6524814450059705,0.4971875010979462,
1018,0.5334999448711824,0.7275406341853402,0.5196001851530405,
1004,0.5735591737013875,0.07973718269165786,0.05425760877650965,
1104,0.5795380762452462,0.5284580899580554,0.4725349876091588,
1116,0.004519989176079135,0.0807292437406264,0.05107899285972242,
1128,0.236095675283885,0.7515177288177411,0.7345201719017325,
1024,0.6586114927665078,0.6218630512339817,0.6808718709470013,
1110,0.5748773460010903,0.7532319165756536,0.5505304156203557,
1038,0.598897013260627,0.8334561871398922,0.6158834902304795,
